date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:33	49158/49158	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2008:06:16%20GMT	http://tavonline.net/html/mat/realtor/index.html	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/index.html	(from )
17:25:38	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Dec%202018%2011:55:37%20GMT	http://tavonline.net/robots.txt		(from )
17:25:39	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sat,%2022%20Sep%202018%2008:06:16%20GMT	http://tavonline.net/html/mat/realtor/favicon.ico	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/favicon.ico	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:41	147430/147430	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:07:12%20GMT	http://tavonline.net/html/mat/realtor/css/bootstrap.css	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/css/bootstrap.css	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:42	2084/2084	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:07:11%20GMT	http://tavonline.net/html/mat/realtor/css/reset.css	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/css/reset.css	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:43	83746/83746	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:11:13%20GMT	http://tavonline.net/html/mat/realtor/cubeportfolio/css/cubeportfolio.min.css	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/cubeportfolio/css/cubeportfolio.min.css	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:43	1120/1120	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:07:11%20GMT	http://tavonline.net/html/mat/realtor/css/owl.theme.css	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/css/owl.theme.css	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:44	1064/1064	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:07:12%20GMT	http://tavonline.net/html/mat/realtor/css/owl.carousel.css	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/css/owl.carousel.css	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:45	33778/33778	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:07:12%20GMT	http://tavonline.net/html/mat/realtor/css/style.css	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/css/style.css	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:45	1486/1486	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:10:55%20GMT	http://tavonline.net/html/mat/realtor/css/colors/green2.css	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/css/colors/green2.css	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:46	31000/31000	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:15:49%20GMT	http://tavonline.net/html/mat/realtor/icon-fonts/font-awesome-4.7.0/css/font-awesome.min.css	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/icon-fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:46	3335/3335	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:11:42%20GMT	http://tavonline.net/html/mat/realtor/icon-fonts/real-estate/flaticon.css	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/icon-fonts/real-estate/flaticon.css	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:48	4247/4247	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2008:07:27%20GMT	http://tavonline.net/html/mat/realtor/portfolio-detail/work-03.html	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/portfolio-detail/work-03.html	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:48	31645/31645	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:07:19%20GMT	http://tavonline.net/html/mat/realtor/images/profile.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/profile.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:50	41518/41518	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:11:11%20GMT	http://tavonline.net/html/mat/realtor/images/works/work-05.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/works/work-05.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:50	17736/17736	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:11:11%20GMT	http://tavonline.net/html/mat/realtor/images/works/work-06.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/works/work-06.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:51	17209/17209	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:11:10%20GMT	http://tavonline.net/html/mat/realtor/images/works/work-02.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/works/work-02.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:52	23811/23811	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:11:11%20GMT	http://tavonline.net/html/mat/realtor/images/works/work-04.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/works/work-04.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:52	6913/6913	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:07:18%20GMT	http://tavonline.net/html/mat/realtor/images/client-01.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/client-01.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:53	8384/8384	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:07:18%20GMT	http://tavonline.net/html/mat/realtor/images/client-02.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/client-02.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:53	6991/6991	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:07:17%20GMT	http://tavonline.net/html/mat/realtor/images/client-03.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/client-03.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:54	8301/8301	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:07:19%20GMT	http://tavonline.net/html/mat/realtor/images/client-04.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/client-04.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:54	3190/3190	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:07:16%20GMT	http://tavonline.net/html/mat/realtor/images/testimonial-1.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/testimonial-1.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:55	2556/2556	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:07:17%20GMT	http://tavonline.net/html/mat/realtor/images/testimonial-2.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/testimonial-2.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:56	3383/3383	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:07:16%20GMT	http://tavonline.net/html/mat/realtor/images/testimonial-3.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/testimonial-3.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:57	26022/26022	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:11:10%20GMT	http://tavonline.net/html/mat/realtor/images/works/work-01.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/works/work-01.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:58	1434/1434	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2008:07:10%20GMT	http://tavonline.net/html/mat/realtor/load-more/portfolio.html	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/load-more/portfolio.html	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:58	26571/26571	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:11:09%20GMT	http://tavonline.net/html/mat/realtor/images/works/work-03.jpg	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/images/works/work-03.jpg	(from http://tavonline.net/html/mat/realtor/index.html)
17:25:59	16016/16016	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2008:07:29%20GMT	http://tavonline.net/html/mat/realtor/blog-posts/blog-1.html	F:/My%20Web%20Sites/gracius/tavonline.net/html/mat/realtor/blog-posts/blog-1.html	(from http://tavonline.net/html/mat/realtor/index.html)
